model,repeat,fold,n_train_records,n_test_records,n_train_subjects,n_test_subjects,accuracy,balanced_accuracy,macro_f1,roc_auc
random_forest,4,1,223,56,132,33,0.8035714285714286,0.7675438596491229,0.7714285714285714,0.8888888888888888
extra_trees,4,1,223,56,132,33,0.8214285714285714,0.8099415204678362,0.8008534850640114,0.881578947368421
gradient_boosting,4,1,223,56,132,33,0.7857142857142857,0.7690058479532164,0.7610241820768137,0.8742690058479532
logistic_regression,4,2,223,56,131,34,0.7142857142857143,0.6621417797888386,0.6621417797888386,0.7254901960784313
svm_rbf,4,2,223,56,131,34,0.8035714285714286,0.7428355957767723,0.754679410593389,0.8914027149321267
knn_7,4,2,223,56,131,34,0.7678571428571429,0.7503770739064857,0.7376576576576577,0.8808446455505279
random_forest,4,2,223,56,131,34,0.8214285714285714,0.722473604826546,0.7495527728085868,0.8680241327300151
extra_trees,4,2,223,56,131,34,0.8035714285714286,0.7096530920060331,0.7315904139433551,0.8861236802413273
gradient_boosting,4,2,223,56,131,34,0.7678571428571429,0.6840120663650076,0.6975488159534691,0.7918552036199096
logistic_regression,4,3,223,56,133,32,0.8214285714285714,0.8552036199095023,0.8095238095238095,0.808446455505279
svm_rbf,4,3,223,56,133,32,0.7678571428571429,0.7835595776772247,0.7499141188594984,0.8506787330316742
knn_7,4,3,223,56,133,32,0.6964285714285714,0.6990950226244343,0.6729646169701133,0.7066365007541477
random_forest,4,3,223,56,133,32,0.8214285714285714,0.8220211161387632,0.8008534850640114,0.9117647058823528
extra_trees,4,3,223,56,133,32,0.8392857142857143,0.8514328808446455,0.8229715489989462,0.8838612368024134
gradient_boosting,4,3,223,56,133,32,0.8214285714285714,0.8220211161387632,0.8008534850640114,0.8868778280542986
logistic_regression,4,4,223,56,132,33,0.7678571428571429,0.7171945701357466,0.7207518220176448,0.7435897435897436
svm_rbf,4,4,223,56,132,33,0.8035714285714286,0.7594268476621417,0.7637130801687764,0.8024132730015083
knn_7,4,4,223,56,132,33,0.7142857142857143,0.6787330316742082,0.672514619883041,0.7119155354449472
random_forest,4,4,223,56,132,33,0.7857142857142857,0.6968325791855203,0.7142857142857142,0.8423831070889894
extra_trees,4,4,223,56,132,33,0.7857142857142857,0.6968325791855203,0.7142857142857142,0.8386123680241326
gradient_boosting,4,4,223,56,132,33,0.7678571428571429,0.700603318250377,0.7100756670649144,0.7948717948717949
logistic_regression,4,5,224,55,132,33,0.6545454545454545,0.6687306501547987,0.637278722665741,0.7879256965944272
svm_rbf,4,5,224,55,132,33,0.7818181818181819,0.7770897832817337,0.7587719298245614,0.8080495356037152
knn_7,4,5,224,55,132,33,0.7454545454545455,0.7182662538699691,0.7109609609609611,0.7252321981424148
random_forest,4,5,224,55,132,33,0.8,0.7414860681114551,0.7529603919967334,0.8359133126934986
extra_trees,4,5,224,55,132,33,0.8181818181818182,0.7708978328173375,0.7796474358974359,0.7577399380804953
gradient_boosting,4,5,224,55,132,33,0.7818181818181819,0.728328173374613,0.7355769230769231,0.7383900928792569
logistic_regression,5,1,223,56,132,33,0.5535714285714286,0.5965309200603318,0.546485260770975,0.656108597285068
svm_rbf,5,1,223,56,132,33,0.6785714285714286,0.7194570135746606,0.6679841897233202,0.8521870286576169
knn_7,5,1,223,56,132,33,0.6785714285714286,0.7526395173453997,0.6748387096774193,0.7858220211161387
random_forest,5,1,223,56,132,33,0.7857142857142857,0.7134238310708899,0.7268292682926829,0.8144796380090498
extra_trees,5,1,223,56,132,33,0.7142857142857143,0.6787330316742082,0.672514619883041,0.8107088989441931
gradient_boosting,5,1,223,56,132,33,0.6607142857142857,0.6236802413273002,0.6165765765765766,0.7104072398190044
logistic_regression,5,2,223,56,131,34,0.8928571428571429,0.8401206636500754,0.8634146341463416,0.942684766214178
svm_rbf,5,2,223,56,131,34,0.9285714285714286,0.89894419306184,0.9125,0.9698340874811462
knn_7,5,2,223,56,131,34,0.7678571428571429,0.7669683257918551,0.7442922374429224,0.8333333333333333
random_forest,5,2,223,56,131,34,0.9107142857142857,0.8529411764705883,0.883672621520565,0.927601809954751
extra_trees,5,2,223,56,131,34,0.8928571428571429,0.8401206636500754,0.8634146341463416,0.9019607843137254
gradient_boosting,5,2,223,56,131,34,0.8928571428571429,0.8401206636500754,0.8634146341463416,0.951734539969834
logistic_regression,5,3,223,56,133,32,0.5357142857142857,0.5671191553544495,0.5260416666666666,0.5806938159879336
svm_rbf,5,3,223,56,133,32,0.625,0.6146304675716441,0.5960151150807282,0.6726998491704375
knn_7,5,3,223,56,133,32,0.625,0.5814479638009049,0.5762162162162162,0.6055806938159879
