feature,importance
L1_cv,0.0014604462834181165
L_total_delta_min,0.0014153999065349046
left_right_diff_q75,0.0013548682086995177
L1_median,0.0013411218135936955
L_total_iqr,0.0012862310074203977
duration_s,0.0012641462551333342
L3_median,0.001205465716415041
L_total_std,0.0011999873888415217
left_right_diff_iqr,0.001111658431074948
L3_rms,0.0010838219054907705
R_total_q25,0.0010083417335505827
R1_median,0.0010076006031996278
left_right_absdiff_min,0.0009432472523528037
L2_median,0.0009220290876943111
both_total_min,0.0009190091563286593
R7_q25,0.0004407950624595889
R3_median,0.0003257099529037967
R8_q25,0.00021680117003782169
L_total_min,0.0001617932206825498
L_total_delta_median,0.00011412510157886672
R4_q25,9.067839193960883e-05
L4_q25,8.723395690604016e-05
L6_q25,8.493525462489772e-05
R6_q25,4.642821405155959e-05
R1_q25,4.549708144593465e-05
L7_q25,2.7830885037117794e-05
L1_q25,2.659527726879179e-05
L3_q25,2.294394625646128e-05
R_total_delta_median,1.3772479005329822e-18
L2_q25,4.970295187429948e-19
R2_q25,3.793622055109488e-19
R5_q25,0.0
R_total_min,0.0
R8_min,0.0
sampling_hz_est,0.0
L1_min,0.0
L2_min,0.0
L3_min,0.0
L4_min,0.0
L5_min,0.0
L5_q25,0.0
L6_min,0.0
L7_min,0.0
L8_min,0.0
L8_q25,0.0
R1_min,0.0
R2_min,0.0
R3_min,0.0
R3_q25,0.0
R4_min,0.0
R5_min,0.0
R6_min,0.0
R7_min,0.0
total_zero_fraction,0.0
